NAME, OBJECTIVE, BOUND, GAP, TIME
20hrs_options_0, 12, 12, 0, 17.389755964279175
20hrsfullflex_options_0, 19, 19, 0, 0.19659876823425293
2c_20hrs_options_0, 12, 12, 0, 4.043349504470825
2c_30hrs_10hrsfullflex_options_0, 21, 21, 0, 30.549271821975708
2c_30hrs_options_0, 18, 18, 0, 18.23794674873352
3c_30hrs_options_0, 17, 17, 0, 11.822216749191284
3c_40hrs_options_0, 24, 24,  0, 58.89472055435181
3c_40hrs_20hrsfullflex_options_0, 31, 31, 0, 8.677402257919312
4c_40hrs_options_0, 43, 43, 0.869565, 60.054362058639526
4c_40hrs_options_0, 23, 23, 0, 66.10909652709961
,,,,
20hrs_options_1, 11, 11, 0, 3.425990343093872
20hrsfullflex_options_1, 18, 18, 0, 0.09816813468933105
2c_20hrs_options_1, 10, 10, 0, 2.662492275238037
2c_30hrs_options_1, 16, 16, 0, 7.585096836090088
2c_30hrs_10hrsfullflex_options_1, 21, 21, 0, 9.216681957244873
3c_30hrs_options_1, 15, 15, 0, 4.596669673919678
3c_40hrs_options_1, 21, 21, 0, 10.343518495559692
3c_40hrs_20hrsfullflex_options_1, 29, 29, 0, 3.6351349353790283
4c_40hrs_options_1, 21, 21, 0, 20.645265340805054
,,,,
20hrs_options_2, 72, 72, 0, 9.595008134841919
20hrsfullflex_options_2, 19, 19, 0, 0.18101000785827637
2c_20hrs_options_2, 72, 72, 0, 3.5941977500915527
2c_30hrs_options_2, 108, 108, 0, 14.504676103591919
2c_30hrs_10hrsfullflex_options_2, 81, 91, 0.123457, 120.07042646408081
3c_30hrs_options_2, 107, 107, 0, 7.050398349761963
3c_40hrs_options_2, 144, 144, 0, 31.111865758895874
3c_40hrs_20hrsfullflex_options_2, 91, 91, 0, 5.329210519790649
4c_40hrs_options_2, 143, 143, 0, 28.33786153793335
,,,,
20hrs_options_3, 2022-05-09 20:19:46.015868, 94, 293, 2.11702, 120.06938147544861
20hrs_options_3, 2022-05-09 20:22:16.355141, 96, 284, 1.95833, 120.06454586982727
20hrs_options_3, 2022-05-09 20:27:08.586103, 100, 292, 1.92, 120.04040908813477
,,,,
20hrs_options_3, 94, 293, 2.11702, 60.05780577659607
20hrsfullflex_options_3, 109, 265, 1.43119, 60.045520544052124
2c_20hrs_options_3, 93, 274, 1.94624, 60.05270791053772
2c_30hrs_options_3, 138, 295, 1.13768, 60.06687521934509
2c_30hrs_10hrsfullflex_options_3, 153, 284, 0.856209, 60.06140661239624
3c_30hrs_options_3, 137, 295, 1.15328, 60.06139016151428
3c_40hrs_options_3, 186, 298, 0.602151, 60.072453022003174
3c_40hrs_20hrsfullflex_options_3, 203, 308, 0.517241, 60.05650234222412
4c_40hrs_options_3, 188, 302, 0.606383, 60.06362295150757
,,,,
20hrs_options_4, 10, 23, 1.3, 60.1286096572876
20hrsfullflex_options_4, 17, 17, 0, 34.39970278739929
2c_20hrs_options_4, 10, 10, 0, 43.151468992233276
2c_30hrs_options_4, 0, 35, 350000000000.0, 60.10710954666138
2c_30hrs_10hrsfullflex_options_4, 3, 33, 10, 60.123629331588745
3c_30hrs_options_4, -2, 25, 13.5, 60.10292029380798
3c_40hrs_options_4, -46, 37, 1.80435, 60.09750437736511
3c_40hrs_20hrsfullflex_options_4, -41, 43, 2.04878, 60.107282638549805
4c_40hrs_options_4, -46, 37, 1.80435, 60.10769510269165
,,,,
20hrs_options_Poppy, 164, 281, 0.713415, 60.09077978134155
20hrsfullflex_options_Poppy, 119, 222, 0.865546, 60.04282999038696
2c_20hrs_options_Poppy, 153, 273, 0.784314, 60.057504415512085
2c_30hrs_options_Poppy, 228, 315, 0.381579, 60.10628962516785
2c_30hrs_10hrsfullflex_options_Poppy, 212, 282, 0.330189, 60.09855318069458
3c_30hrs_options_Poppy, 228, 310, 0.359649, 60.06770920753479
3c_40hrs_options_Poppy, 306, 361, 0.179739, 60.10743284225464
3c_40hrs_20hrsfullflex_options_Poppy, 271, 294, 0.0848708, 60.0671284198761
4c_40hrs_options_Poppy, 302, 347, 0.149007, 60.098586559295654
,,,,
20hrs_options_Simon, 17, 17, 0, 5.534771203994751
